id;id_version;NC;mWMC;mcBC
1;7cdbfbe047f81907244de9428b27db49b0fa5107;1023;22,157381;0,021898756
2;a770e5314e297ecb76e342e213c552bcaa0f1fbb;1023;22,157381;0,021898756
3;f168bc9ae985757a0549b6b8fbb9bea0cc9afa13;1023;22,157381;0,021898756
4;4dfc412671942c67cdd4bb48fdbac17216599759;1023;22,157381;0,02189911
5;51ea9b8ebcbe20e2d8a8a66b71e3cf92af1aa16b;1023;22,157381;0,02188477
6;eef5f395bc360d532c33dd3b43e4a19bcf41e473;1023;22,151516;0,021891743
7;f838c7d74c0d7f118be4aa42b74b3d7bfebed07e;1023;22,151516;0,021891743
8;6a00ffe8f7d5666dffdb23d3c8150c07cb652920;1023;22,151516;0,02189166
9;7cc03e0ebebb69889204a68e2cf01a1b070a33e3;1023;22,151516;0,02189166
10;88d326de2fbfc4c25941d29a515e55c9edaf3a45;1023;22,151516;0,021834262
11;ffd48b1123840306a077f8bf4a1be1d7f82e3f02;1022;22,17221;0,021809885
12;229f7b48b33190babb4ea537cbb2e49b4fe0f7b9;1022;22,17221;0,021809885
13;2b7df0cec3c8966f0f2e55e7a61cbcf33a06e383;1022;22,17221;0,02180998
14;46aec2fa3e3386eeed9f19e9c17446837978d3f1;1022;22,212328;0,02176343
15;768e0502995a9c55a48fc26d579fe5128ad43539;1022;22,212328;0,02176343
16;9dbb5116060e8579d34c4a3af769648e287cef43;1022;22,212328;0,02176343
17;a27780c821ef9a3a07eff3c997c55e853ac6b6df;1022;22,21135;0,021765487
18;431d33f7300dce4344fbc9f89c5d9096bba06ed5;1022;22,210371;0,021767545
19;5aac9ae42147d34fe175e29af3993172e9c9080a;1022;22,210371;0,021767545
20;4f5ea5ede6cd4d02434dc648b0e8696e4bee43d3;1022;22,210371;0,02176763
21;b372d008db90bb8c919d4b6a636553bd9c2b21e1;1022;22,210371;0,021767545
22;69b996636fe193f3afc565036cb0152f0d61695a;1022;22,209393;0,021768559
23;efae5e517dd80f31bd031cc5b62807be4dc662cc;1022;22,209393;0,021768559
24;fcff7a2ce9ecd27e5b97d118ca0c13426118fe68;1022;22,206457;0,021770928
25;33f9ce07c11098ed4ab502a25f09ea652f743de4;1022;22,209393;0,021768559
26;6a1af18bab8acd118448cc022b05d4e3b3697297;1022;22,206457;0,021770928
27;b3d63c7148e5bbff621fd01e22db69189f09bf89;1022;22,206457;0,021770928
28;5ca5d26bb38bafead25f81e88e0938a5d042c2a4;1022;22,206457;0,021770928
29;eab3f5912f0308b726ec7c3bf4538687ef2578b2;1022;22,165361;0,0218169
30;487f4233916365c6c1b81b04b7ef7b089a2ad136;1022;22,165361;0,02181707
31;66e1f2172c1f189a92d247654b6289f40ea288ad;1022;22,165361;0,02181707
32;57a258177085a4348f56f700e177e0d4cac5f809;1022;22,165361;0,021817239
33;38be7cb105d259c763b3fa32abb8fc6ad0f1a4a7;1022;22,161448;0,021818848
34;5ed43f7b944da6fe579b741b743970203cc7cece;1022;22,157534;0,021820458
35;9020a32e62800916f1897c3eb17c95bf0371230b;1022;22,157534;0,021820458
36;00a25ee1463a35e482cef7f38bb3246a0152ceb0;1022;22,157534;0,021826081
37;acede81e8ae48da521ca3e46534a322da76f96ad;1022;22,158512;0,021823766
38;beb5fe1853b287ab9a26d4d9d7910b8edaf092d1;1022;22,158512;0,021824129
39;e41eaa830d5a7b8a6e641786db74fe9313a6a43b;1022;22,158512;0,021827644
40;4bba2b425dfa9f2b34aec04051a2f27f64204fbc;1022;22,158512;0,021838326
41;f3a1462fe6d50f212ece060e27adafe41fab7f33;1024;22,149414;0,021851622
42;1f1a39ba311472fa9c9e19c4e5ad9221ece63185;1024;22,149414;0,02185514
43;2781c2a842d61604bceba5d1bf5d599456d82fdd;1024;22,15039;0,021853752
44;78f29abd221151e3afbee5eda9a9341c8aa59846;1024;22,161133;0,021842532
45;35636e73b694d6a2104c1f19c229678cb6448497;1024;22,161133;0,021847434
46;c3497899201c0a39aff8bdea80ac85b80319b1d2;1024;22,161133;0,021859072
47;10f8072bd64824df2426ed6f7a95e87b08c77a81;1023;22,191593;0,021828264
