id_version;NC;mWMC;mcBC
7cdbfbe047f81907244de9428b27db49b0fa5107;1023;22.157381;0.021898756
a770e5314e297ecb76e342e213c552bcaa0f1fbb;1023;22.157381;0.021898756
f168bc9ae985757a0549b6b8fbb9bea0cc9afa13;1023;22.157381;0.021898756
4dfc412671942c67cdd4bb48fdbac17216599759;1023;22.157381;0.02189911
51ea9b8ebcbe20e2d8a8a66b71e3cf92af1aa16b;1023;22.157381;0.02188477
eef5f395bc360d532c33dd3b43e4a19bcf41e473;1023;22.151516;0.021891743
f838c7d74c0d7f118be4aa42b74b3d7bfebed07e;1023;22.151516;0.021891743
6a00ffe8f7d5666dffdb23d3c8150c07cb652920;1023;22.151516;0.02189166
7cc03e0ebebb69889204a68e2cf01a1b070a33e3;1023;22.151516;0.02189166
88d326de2fbfc4c25941d29a515e55c9edaf3a45;1023;22.151516;0.021834262
ffd48b1123840306a077f8bf4a1be1d7f82e3f02;1022;22.17221;0.021809885
229f7b48b33190babb4ea537cbb2e49b4fe0f7b9;1022;22.17221;0.021809885
2b7df0cec3c8966f0f2e55e7a61cbcf33a06e383;1022;22.17221;0.02180998
46aec2fa3e3386eeed9f19e9c17446837978d3f1;1022;22.212328;0.02176343
768e0502995a9c55a48fc26d579fe5128ad43539;1022;22.212328;0.02176343
9dbb5116060e8579d34c4a3af769648e287cef43;1022;22.212328;0.02176343
a27780c821ef9a3a07eff3c997c55e853ac6b6df;1022;22.21135;0.021765487
431d33f7300dce4344fbc9f89c5d9096bba06ed5;1022;22.210371;0.021767545
5aac9ae42147d34fe175e29af3993172e9c9080a;1022;22.210371;0.021767545
4f5ea5ede6cd4d02434dc648b0e8696e4bee43d3;1022;22.210371;0.02176763
b372d008db90bb8c919d4b6a636553bd9c2b21e1;1022;22.210371;0.021767545
69b996636fe193f3afc565036cb0152f0d61695a;1022;22.209393;0.021768559
efae5e517dd80f31bd031cc5b62807be4dc662cc;1022;22.209393;0.021768559
fcff7a2ce9ecd27e5b97d118ca0c13426118fe68;1022;22.206457;0.021770928
33f9ce07c11098ed4ab502a25f09ea652f743de4;1022;22.209393;0.021768559
6a1af18bab8acd118448cc022b05d4e3b3697297;1022;22.206457;0.021770928
b3d63c7148e5bbff621fd01e22db69189f09bf89;1022;22.206457;0.021770928
5ca5d26bb38bafead25f81e88e0938a5d042c2a4;1022;22.206457;0.021770928
eab3f5912f0308b726ec7c3bf4538687ef2578b2;1022;22.165361;0.0218169
487f4233916365c6c1b81b04b7ef7b089a2ad136;1022;22.165361;0.02181707
66e1f2172c1f189a92d247654b6289f40ea288ad;1022;22.165361;0.02181707
57a258177085a4348f56f700e177e0d4cac5f809;1022;22.165361;0.021817239
38be7cb105d259c763b3fa32abb8fc6ad0f1a4a7;1022;22.161448;0.021818848
5ed43f7b944da6fe579b741b743970203cc7cece;1022;22.157534;0.021820458
9020a32e62800916f1897c3eb17c95bf0371230b;1022;22.157534;0.021820458
00a25ee1463a35e482cef7f38bb3246a0152ceb0;1022;22.157534;0.021826081
acede81e8ae48da521ca3e46534a322da76f96ad;1022;22.158512;0.021823766
beb5fe1853b287ab9a26d4d9d7910b8edaf092d1;1022;22.158512;0.021824129
e41eaa830d5a7b8a6e641786db74fe9313a6a43b;1022;22.158512;0.021827644
4bba2b425dfa9f2b34aec04051a2f27f64204fbc;1022;22.158512;0.021838326
f3a1462fe6d50f212ece060e27adafe41fab7f33;1024;22.149414;0.021851622
1f1a39ba311472fa9c9e19c4e5ad9221ece63185;1024;22.149414;0.02185514
2781c2a842d61604bceba5d1bf5d599456d82fdd;1024;22.15039;0.021853752
78f29abd221151e3afbee5eda9a9341c8aa59846;1024;22.161133;0.021842532
35636e73b694d6a2104c1f19c229678cb6448497;1024;22.161133;0.021847434
c3497899201c0a39aff8bdea80ac85b80319b1d2;1024;22.161133;0.021859072
10f8072bd64824df2426ed6f7a95e87b08c77a81;1023;22.191593;0.021828264
dbd341e810dd68ea05f9369a67b2da3a10f81313;1023;22.193548;0.021827616
b7cccc63890b0789357a63c4f652dbcdbbfda177;1023;22.202347;0.021818936
afe32be5a7e0cfee67f28bc7e572a041e76fe1c3;1021;22.209599;0.0218108
febda0a6412471eb9a1d9d1bc975e6d81a18a72d;1021;22.209599;0.021815758
ee91627a19d9bafde058ea2663dc6405f9f01e3b;1023;22.183773;0.021851053
938a496e2dcae571fb198db99c2e9c84d55f310e;1023;22.183773;0.021859242
c336dee7e968d9200cbf69e2d79a57b8f624f224;1023;22.183773;0.021859242
a41b200456197907ab0f05c7887b474329c96eef;1023;22.183773;0.021864818
84888b4c5326a51cbfec517f6ee7f64a5e36f00f;1023;22.183773;0.021886863
666738a016bbc4c8fc6cce2ae4a2821b07d5e67d;1024;22.172852;0.021899825
0a41d7deb7612ecce20a015c5d9103b5562ebc85;1024;22.166016;0.02191804
23f2266614cdb362870069a124af4e4335cc54a6;1024;22.166016;0.021919226
8f80ac68c27cadf3e8046e2840f896f0088e8d81;1024;22.197266;0.021894025
6432327ed536f43651c6fbabad674bbd4e6089b2;1025;22.196098;0.021897195
43f966b1f418236ae3a593bbbd7e80eda1857ae2;1025;22.196098;0.021897195
1e3c4df95998b19f172f74f21625b61ca47f2837;1025;22.196098;0.02189694
3a4712f32f7bde9142dc0805c40976c8d11e312d;1025;22.196098;0.021896854
7fc59df4096314152762dd9ca115c77fe8b7a6c2;1026;22.18616;0.021920225
e9de835c8833904f924f5be5584d7a37ed12c081;1025;22.207806;0.021905327
a456583c79400094f7168a8a88fe46d6cd17854d;1025;22.219513;0.021892063
99d999395e46f8cf8689724853c9ede89be7c7ea;1025;22.219513;0.021891134
b2b7f901691285e23ddf3af41bdd59e35aea0636;1025;22.219513;0.021896843
6e51b1bca58b6d4a76f53f433d03a94c3594ef82;1025;22.219513;0.021903155
93078512157362e7584af9a67a23a75b55b2f239;1027;22.198637;0.021924272
b869a3fe44d9b5e8b848d25b8061a63d3553399c;1029;22.18173;0.021941261
eea4d41e4ba84dc079ecf6c7b36c71e97cd09467;1029;22.18173;0.021949453
89aa728efb9b2741197f4110d905f7a983856c67;1029;22.18173;0.021949453
d08af6783ce86ff68de72b0f6444af000b9ef374;1029;22.18173;0.021949373
8b0e0184273142a4f201c92681b8807d14cf89d7;1007;22.64449;0.021496622
cb36cf4d3aaabbacec6e2fe34275cf535ead1606;1007;22.647469;0.0214933
1c37e68ea8be5886ad9084e104a9349b014df438;1007;22.649454;0.021488445
8e1cbdf1ab13892f6a1a9af83223ddf062319f87;1007;22.649454;0.021504741
c6785e432955f6a0fd0c4242896bbb5f21198c84;1006;22.676939;0.021482524
49b5b1304a33a66438344b0f040ed49af4bb7400;1006;22.676939;0.021482442
3362c44e37f4e9db3c008761377b65bd41d4b27f;1006;22.676939;0.021482358
cc519871d6ca8ac609593c76ef49d56549bb7bf4;1006;22.676939;0.021482358
f054137b9ed28d35092c0109c5eac5385fcc314d;1006;22.676939;0.021482201
cff81a9922911511d4987b3f7b3e17fe9a5e4cfb;1007;22.665342;0.021533772
a0123648a0c195e5a134686cff222b28908e6f09;1006;22.686878;0.0215167
a905655fc09a74477257dad550d46ddb2e3248c2;1006;22.703777;0.021512527
8c8af50fedcd9b8e7c7ae286fbbfe7190861ae81;1005;22.725372;0.021491908
94737b5087b4179e24e50bd930803abe5f01c9c7;1005;22.727364;0.021492332
da9420a5cb14a3590529b161f4aa70e1d563cfe1;1005;22.727364;0.02149915
47e40e5d900537999d8608c807bd08d4615e0583;1005;22.727364;0.021501822
3c41759a7e9850998ded301235b0ad7a1866a43b;1005;22.727364;0.021502689
d67905004027da90211a650dd0b003e4d6f8dca5;1006;22.710735;0.02152116
dc5a6426a79b92cb654c9b395948d96d673f75b5;1005;22.732338;0.021502897
3d8c3c7bc8cd9239185836a762dc47112e22f852;1006;22.710735;0.021522023
62becf4f5711e0eb908ede4b89f91e6a34898dc5;1005;22.732338;0.02150376
afbd7f5eccb25f068af6f8e156962fe256fdad10;987;22.892603;0.021340316
6f09917901a7cf4055ad83f47ac2ef71ef450ccb;986;22.914806;0.021321831
4cb61f26e83cf044dc85c99395b5d8326f3ca9f0;986;22.914806;0.021321831
495135f8b704f9121590aa149093a5e49a3eb46f;986;22.914806;0.021321336
5811f946c5c93636aaeeb9891650f38b3aeb6bc6;985;22.917767;0.021315685
781f79f87c85265b087c743141b4433af85078ff;985;22.911674;0.021323144
70ca615bd4955cf75b53118108f5115d71da5a8c;985;22.911674;0.021324003
def985313c5a5e6da4909650e04fefce62033a90;985;22.911674;0.021324018
6333e12c3cc8476abfff061b70a3191899bdfac2;985;22.911674;0.021324018
27779d005ae46c448bbb525f6af37527806fcf72;985;22.911674;0.021324018
b3481d24eb1eeca50e14bf486d9a3431dc408924;985;22.911674;0.021324018
c620b7925bf8cdcc8c34485e50acb65d25723f21;985;22.911674;0.021324025
6221336768a8b97c783f9705ccfbfd43bfa5a13b;985;22.911674;0.021324107
b8d249f523bf9f931c910db14910421d63214193;985;22.911674;0.021324107
00b6cbf776fbcdeaff7fbe334a7e54538faba812;985;22.911674;0.021322455
3934db737eb7e382795d05ecb9179cf11333188b;985;22.911674;0.021322455
bcd3d53362cacc8f762c8f09ce1c2caebde7bfae;985;22.911674;0.021322371
013a63dd74fb1e5dfc427950a5cd945484fe1e0f;985;22.911674;0.021324532
2f4b33219867233826305d9db022d7260b68b34e;985;22.911674;0.021324797
53d285208d2013d475b27852da16da8e900a7467;985;22.911674;0.021324797
ac5ff834c6f5aa54abf44a70d27780a4bee84589;985;22.911674;0.02132521
ea5ae91e5df07813f013d8abb0c75aeffae0e1b6;985;22.911674;0.021403778
b0b1e35062be335e196254267bed70a75e6d618d;985;22.911674;0.021403778
49fc8ef2fff71d1e71abbced2ed39f7053083ef2;985;22.911674;0.02140825
33cd3af2f334ed9cfdbbcefc9b66011afcfb6652;985;22.911674;0.021412032
0c9f4503fd65485cf405583a21681da78742f5de;985;22.911674;0.021412116
25137e325f7f731589029e8bcd0d2c055d64d811;985;22.911674;0.021412203
fc665dbddd2cee3dab5c1183acbef2fc5e06ab34;985;22.911674;0.021412805
e67c5af0ff71301c861aa9268be7d5345219624f;985;22.911674;0.021412488
b87b526e204e9000645fd6ecf0a5421992cc0e90;985;22.911674;0.02141257
bd29bf2639b80c7c2032d231320cd044011072b4;985;22.911674;0.021416398
c38f65a77aab3524e039dfbc6f393044cbdb24b4;985;22.911674;0.021421034
fd4f5eabbf1de9917f8d4fdca3fab72e54242350;985;22.909645;0.021423094
9c6d5a3def06c11a0ea2d12e0c02b0ef3ba6da0d;985;22.909645;0.021423176
d44af698be1d9cf60e41423c0fea9e6adbdb6730;985;22.909645;0.021423176
75b07be40d0b1bce20b22f258c18b4b882a1f953;985;22.909645;0.021423414
fc4ddeed916c4cfd6479bf7378c6cdb94f6a19fe;985;22.909645;0.021423414
7ec310c94f1521406fe5c6976f11f176295112eb;985;22.919798;0.021416388
23f019e0087b9fc063e9a83f4ad2785835d5a5da;985;22.919798;0.021416388
02c2a9ab1e83af794aaef36a6c9e8323b888bb2b;985;22.919798;0.02141275
23d85926db8ccfe2bf5e193ef34d23f4d3ab75f4;985;22.93807;0.021391645
265658c807ce90010fd196e554c218c621cf62b5;985;22.939087;0.021390367
31581525ffdb0319d477d73882f1b9677bc8c5ac;985;22.939087;0.021390367
67d2be0f339b2a50a9c902b6d948f73ec996090b;985;22.943148;0.021385595
d4d2b7ca59ce4b0a9cae55bfbf7785b7dd28c2b2;985;22.943148;0.021386009
ae40fd74fc4e24ca26fa337089500dd9b7be6879;985;22.964466;0.02136181
